Input, Output
7.753063650639393956e+00,-3.402972361653967681e+01
-2.068986805898491355e+01,-2.496588651397221525e+01
-2.176356943216788409e-01,-2.726324799334877724e+01
-1.362144209030210185e+01,-2.590504916887693554e+01
-1.050046825811353379e+01,-2.813148210618061285e+01
-1.363759439599864720e+01,-3.104269279697322403e+01
-2.211306433278152284e+01,-3.501071209198196499e+01
-1.859735820201363765e+01,-4.325298020207964100e+01
-9.496628455163403260e+00,-5.080525805407548745e+01
-1.246715278758633083e+01,-5.199759955135242961e+01
-2.531032617075903346e+01,-5.127770963113905367e+01
-1.711920770437238914e+01,-5.669196665128034596e+01
-2.263210996908473049e+01,-6.064420065250867964e+01
-5.579813810070492153e+00,-6.538705057665451648e+01
-1.587840944824305289e+01,-6.169538518293956031e+01
-1.683362345997506537e+01,-5.897870057378398201e+01
-1.055992731567149079e+01,-5.856056686176587078e+01
-2.994353095019036459e+00,-5.600686076448712214e+01
-1.914418318984459688e+00,-4.868783361567888335e+01
-1.374564125978782947e+01,-3.951459283315596593e+01
-1.885046390794443028e+01,-3.694887841351636837e+01
-5.326656324661865227e+00,-4.091685271947321212e+01
-1.563843910849926644e+01,-4.034429901147137087e+01
-1.128837109744145195e+00,-4.203548098794185961e+01
-1.140886427920695212e+01,-3.804101928648569242e+01
-5.182351304219128707e+00,-3.634691014937388331e+01
-1.721226001629747060e+01,-3.364850642628809396e+01
1.081150067077121690e+00,-3.641862621000687739e+01
1.315341541729431185e-01,-3.277056184831298680e+01
-1.527753835058154408e+01,-2.602155450488691457e+01
-1.469727066356103506e+01,-2.705208580556293896e+01
-6.174941683628587086e+00,-3.196641864949183898e+01
-2.870103650876465196e+01,-3.316663795630866218e+01
-2.437867098584600356e+01,-4.325821600166811720e+01
-1.280004850886665047e+01,-5.502496327360019990e+01
-2.869565776365566379e+01,-5.930314123664906845e+01
-2.078386647871632675e+01,-6.697639402865513603e+01
-4.039055942465450855e+00,-7.226850787217846062e+01
-6.868211469143142622e+00,-6.669790227469648869e+01
-6.832917459388285764e+00,-5.786170744141801237e+01
-1.759352190158960738e+01,-4.953944704470467286e+01
-1.944890759815437775e+01,-4.809346914173223553e+01
-1.502376054963127316e+01,-5.136073035637726036e+01
-6.101388112514831263e+00,-5.377014160316930713e+01
-8.082153747000621280e+00,-5.058686163421981519e+01
-1.546208851151185115e+01,-4.600404230800088357e+01
-1.766381403432704644e+01,-4.554992461001518222e+01
-6.373872970667056492e+00,-4.846151146238462104e+01
9.783596392292587041e+00,-4.670459726383270294e+01
-1.916477619462464332e+01,-3.434005014455920701e+01
-1.190097986127662999e+01,-3.299974055991495447e+01
-5.049647153236643149e+00,-3.510447933479031235e+01
-2.940675015456405639e+00,-3.394169158830317201e+01
-1.940717371546636372e+01,-3.007337432387799225e+01
-1.865343964692015888e+01,-3.386659997482087192e+01
-2.378170075373005332e+01,-4.107204862248759270e+01
-6.791426309356025648e+00,-5.085373013418674759e+01
1.031811165420987209e+01,-5.202811104817207166e+01
-3.342724102330259939e+01,-3.964572481121746961e+01
1.152823171036673955e+01,-4.452361816447545806e+01
-1.063190336622223775e+01,-3.675604242927099108e+01
-1.435823116287134837e+01,-3.224566039634390791e+01
-8.625856232164171189e+00,-3.372421369943800329e+01
4.613596048254235527e+00,-3.460755912951339752e+01
-2.514086939375673424e+01,-2.795223266375072768e+01
-2.822418877493150191e+01,-3.320087371300164847e+01
-3.728773349664149528e+00,-4.641061738470217790e+01
-2.589891711602864355e+00,-4.841387601120479189e+01
-1.096450184529712857e+01,-4.305389209461723254e+01
-4.000748333805813850e+00,-3.998742869813482770e+01
-1.656886299456677136e+01,-3.557658919459034763e+01
-1.507608938479010874e+01,-3.698079765989960777e+01
-9.807675850563471798e+00,-4.076665782761226353e+01
1.305803045811142837e+01,-4.202061005723476228e+01
-2.577391602070699150e+01,-3.020850198620466287e+01
-3.439212314905407908e+01,-3.270201575287018159e+01
-6.755510253444313662e+00,-4.813287445953782395e+01
-1.567078406439036975e+01,-5.281100479678072190e+01
-1.785480611586807242e+01,-5.455228920332736919e+01
3.046299100914723113e+00,-5.694116733571394207e+01
-3.370726347674080969e+00,-4.895006603478988438e+01
-1.951978921479054918e+01,-3.960550405492563186e+01
8.674139147803821004e-01,-4.000296156203342690e+01
-1.852402620055329407e+01,-3.526830852186724741e+01
-1.577070724980024075e+01,-3.710665528185045048e+01
-1.008809792188361776e+01,-4.157741858190688333e+01
-2.457120876636776785e+01,-4.316417977563315844e+01
-2.581913664613762904e+01,-5.014586810614972734e+01
-2.059998857734721511e+01,-6.001873045829882614e+01
-1.093668617386248521e+01,-6.684591848539548664e+01
-3.141870597664152598e+01,-6.613215285187288828e+01
-1.812578151312087726e+01,-7.211744828787973915e+01
6.817616075727993774e+00,-7.493625464071752162e+01
-1.729413133352855780e+01,-6.237574688233887343e+01
-6.005425102707114604e+00,-5.584664091840875244e+01
-4.086791153268301002e+00,-4.928708623953588130e+01
-2.672015505892554899e+01,-4.170048868233196515e+01
-1.323116190726873143e+01,-4.606791694898677747e+01
-1.016370075240496895e+01,-4.955942957050333320e+01
-7.384195567966127527e+00,-4.927908576194190715e+01
-1.639190978448797509e+01,-4.601303729498341255e+01
-6.138487512014924263e+00,-4.641561521748350572e+01
-2.262264026779661208e+01,-4.384961583589870315e+01
-1.929701628545540615e+01,-4.784494197166486629e+01
7.514574790316601138e+00,-5.353140072230294777e+01
1.235477025487600855e+00,-4.517994344619377500e+01
-5.681696427989044729e+00,-3.356937525075919382e+01
-6.391502282426179349e+00,-2.675402746632114415e+01
-1.255959765166294417e+01,-2.378012342474604424e+01
-1.385754270381768016e+01,-2.581810257963171296e+01
-3.861785583341785788e+00,-3.059656858674855684e+01
-2.029075775509071278e+01,-3.074662964175176683e+01
-7.807158345010908995e+00,-3.642204391031276600e+01
-6.998411395721048756e+00,-3.856971991539565181e+01
-1.744179048818949695e+01,-3.745556363689782842e+01
-1.147865125173485090e+01,-4.047791526611885615e+01
-1.541460893650472386e+01,-4.257251934415027961e+01
-1.602907679654583717e+01,-4.534995414851065476e+01
2.675858643395994108e-01,-4.865817719324200397e+01
-2.525014656799489643e+01,-4.354299580404970982e+01
-2.011404399971565482e+01,-4.732142501048896577e+01
-1.831712376145527088e+01,-5.369036259401140398e+01
-1.044062715005377839e+01,-5.856394078111769375e+01
-1.529859251729481784e+00,-5.800230705563384248e+01
-4.257220456924731167e+00,-5.031730221009694048e+01
-5.149112204300087647e+00,-4.179067048732253653e+01
-2.532435437755482610e+01,-3.502836165646672839e+01
-1.740672100518832366e+01,-4.015680582645087782e+01
3.832120435898962896e+00,-4.682351662917670865e+01
-9.279151127396350063e+00,-4.152615625286942702e+01
-1.487957673522435442e+01,-3.724435850492653088e+01
-2.485334890364439531e+01,-3.811885494686971754e+01
-1.526593474578121779e+01,-4.625934278760345819e+01
-2.460763031739941553e+01,-5.191899551583384209e+01
-5.205136465370333809e+00,-5.947134471843131820e+01
-3.275547763593219486e+01,-5.773368403818361827e+01
-1.052424923551354574e+01,-6.478503697275144191e+01
-7.419179148613066488e+00,-6.550247037720244236e+01
-2.266604615306433246e+01,-6.003668981255903958e+01
-1.547791962456052772e+00,-6.054160251766393941e+01
-2.405917891121132612e+01,-5.407707955099506592e+01
-1.639794071628734073e+01,-5.528436854704406755e+01
1.637858017989184845e+00,-5.747071792846978155e+01
-8.095527934721914676e+00,-4.988705193693468942e+01
-2.943031326409525050e+01,-4.306989963146484968e+01
-8.992302514409646008e+00,-4.924902844729010098e+01
-1.105433226439906136e+01,-5.103994373567097398e+01
-1.383007806331324474e+00,-4.994453934086685365e+01
-2.121783371583532229e+01,-4.336429791505459974e+01
5.466808850637116635e+00,-4.482159145293002211e+01
-2.509035519182293683e+01,-3.756758958513525926e+01
-7.267051808402391622e+00,-4.092140398291908099e+01
-2.246367509317102673e+01,-4.172696097198570442e+01
-1.411090691695752497e+01,-4.730284068706334466e+01
-1.075467955412694643e+01,-5.105558503670462756e+01
5.073503098125726751e+00,-5.103191318709734503e+01
1.036642748052013374e+01,-4.140071156973796462e+01
-1.750568431896274291e+01,-2.560438589859485958e+01
-1.454100094963106216e+01,-2.352632895834864968e+01
-1.552160029333338898e+01,-2.804328367272849221e+01
-1.215038444860092781e+01,-3.439824478948707309e+01
-2.213388091704630511e+01,-3.881089305311239457e+01
-6.178913106826271928e+00,-4.645888341581864012e+01
-2.107955868873438376e+01,-4.707579159788732426e+01
-1.811052908215128809e+01,-5.093042179083348486e+01
-1.308159820369796833e+01,-5.532103415192653273e+01
-3.428103057957819999e+01,-5.638951095819177795e+01
-1.429470272717644974e+01,-6.620415552106476298e+01
-1.316329124245117299e+01,-6.972740296753276823e+01
-1.854122384160216441e+01,-6.783686717171023872e+01
1.122273667874779335e+00,-6.688849554799314490e+01
-1.638826846195401288e+01,-5.713582470453781781e+01
3.166841569855264993e+00,-5.256844278879967902e+01
-1.347529682303893495e+01,-4.257280367495469875e+01
-2.351581795049878920e+01,-3.856828698073064032e+01
9.360310227654377258e+00,-4.405085053203865897e+01
-2.691023794549282755e+00,-3.663606783991853888e+01
3.393643851170981662e+00,-2.852788373742311023e+01
-5.485802817175976287e+00,-1.959721201457715978e+01
-2.432711809968523653e+01,-1.566252048614445869e+01
-1.810952190243579096e+01,-2.445122735345052334e+01
-2.620889587262472453e+00,-3.519489337977113053e+01
-2.254749345498938595e+01,-3.655385673760787313e+01
-1.290791044129669629e+01,-4.272487255775914150e+01
-2.290238597401058485e+01,-4.681940020313942341e+01
-3.105170254733412349e+01,-5.354941328662474120e+01
-5.200241242302162448e+00,-6.522434437180145039e+01
2.807235167789723818e+00,-6.469491119293428483e+01
-1.994482660213675018e+01,-5.327032315931199946e+01
-6.039164434900289535e+00,-5.033454471716791545e+01
-2.257257942307244747e+01,-4.624153668640904158e+01
-1.445464475243063873e+00,-4.926404876076931316e+01
-2.149717135580640104e+01,-4.544318918000251273e+01
-3.205884776469012820e+00,-4.770006145153992350e+01
-9.695304393166795265e+00,-4.465704598779817047e+01
-1.180461613088943373e+01,-4.158462575190011989e+01
-2.753639831420834128e+00,-4.069412004004943384e+01
5.697311501626113994e+00,-3.641408891691870764e+01
-1.004955849856177608e+01,-2.648417893103793830e+01
-6.772954635127900858e+00,-2.313107656566045023e+01
-1.039209337013111956e+01,-2.262345258011729499e+01
3.799258550284559277e+00,-2.468040387882916065e+01
-1.544871650537334773e+00,-2.064153967681766844e+01
6.807852437139487733e+00,-1.629018795537423969e+01
-2.921172213282867247e+00,-8.872516286192226431e+00
-7.971893201081385882e-01,-5.545019841303118646e+00
-1.473376996521383475e+01,-4.153447483399834717e+00
-2.014421474482341878e+01,-1.042858803766675457e+01
-5.236159984652372756e+00,-2.256065942119154144e+01
-2.005349698331061248e+01,-2.795866646187004889e+01
-7.318899613657674941e+00,-3.598620434198296891e+01
-8.198938770650551433e+00,-3.879105565985868509e+01
-7.798388944559968117e+00,-3.842403061589227065e+01
-1.648397120462397680e+01,-3.685354744660914861e+01
-8.789417705137605452e-01,-3.942396415308336088e+01
-2.318630598055667846e+01,-3.612858288191790024e+01
-2.700942089813529456e+00,-4.085448776447030639e+01
-1.354614841511130763e+00,-3.968673503600235364e+01
-1.935468681276962144e+01,-3.386041948081690123e+01
-1.864309426141044312e+01,-3.616746176962930548e+01
-8.969065502364168552e+00,-4.245593640993819662e+01
-8.522628216238253174e+00,-4.426495946437022155e+01
-3.471958027371181288e+01,-4.298383746238603464e+01
2.487073114064948243e+00,-5.386231242120597784e+01
-1.879457719261493054e+01,-5.137389824731990018e+01
-2.885488288721115069e+01,-5.139970877043978703e+01
-2.309826247893153095e+01,-5.948256685371383412e+01
-1.856259507281821897e+01,-6.729292909277347690e+01
-8.277718467313293971e+00,-7.093661787810817998e+01
-1.081484688155203600e+01,-6.689714295738616556e+01
-5.988053892955005786e+00,-6.098981167920929636e+01
-3.446333231321002444e+01,-5.315746503560266234e+01
-1.348511897990498376e+01,-5.966306477176583201e+01
-2.700937290281770942e+01,-6.265565425273944555e+01
-8.234346583581194423e+00,-6.855063467584224668e+01
-9.552479671557767560e+00,-6.652929808475361995e+01
-2.767852617119510228e+01,-6.076096919130448981e+01
-2.289049185603960268e+01,-6.373769222147010538e+01
-1.155491776611249755e+01,-6.882812983846466182e+01
-9.136986371891202552e+00,-6.772426808660659958e+01
-1.566974105067430045e+01,-6.220893140356886875e+01
-1.579504235898364684e+01,-5.901642525959240260e+01
-1.800146838591825116e+01,-5.790222808203969862e+01
-2.394964204032832811e+01,-5.880654752438870503e+01
-2.089235489889953001e+01,-6.349281736047822733e+01
1.079645920588986741e+01,-6.785950595329158830e+01
-1.740901050360620061e+01,-5.526452391495312355e+01
-1.386337830782677827e+01,-4.950782546691914376e+01
2.770491124662155968e+00,-4.818235647416013734e+01
-8.688837564529682922e+00,-4.000887541025985428e+01
-2.929436120134292665e+01,-3.473809207267875365e+01
-2.518826829171153392e+01,-4.278617346290629797e+01
-3.904713900964509321e-01,-5.436567823896255192e+01
-3.405406446849942625e+01,-5.252893726831352694e+01
-1.716214545977535622e+01,-6.052075322275469205e+01
2.835100869744451302e+00,-6.569289852838326738e+01
-9.422504999031611206e+00,-5.735439071564800173e+01
-7.446209348990068477e+00,-4.959095039994907239e+01
-2.895259577874873713e+01,-4.353568172233604372e+01
-1.778700416295541231e+01,-4.960986118875524653e+01
-1.616792552171429165e+01,-5.564770039704179538e+01
-1.251492531109240325e+01,-5.879129229178541749e+01
-1.772742292175816203e+01,-5.838795516376022476e+01
4.416945142356336618e+00,-5.901517667547619084e+01
5.335347739343719198e+00,-4.934968300009659004e+01
1.145678860023949142e+00,-3.486436541085062402e+01
-4.919538534836275012e+00,-2.295284384356172680e+01
-2.841510775111393272e+00,-1.734695577863856641e+01
-3.599998919441117806e+01,-1.447139817437803799e+01
-1.004813446706844360e+00,-2.939742911672899339e+01
-2.337169493103773377e+01,-3.417857888373173836e+01
-1.024786370961738591e+01,-4.222230109804041120e+01
-2.791795758356803248e+01,-4.582156919004612661e+01
-1.193923127869025436e+01,-5.477290396433565434e+01
-1.548196935083742787e+01,-5.799914666242273142e+01
1.208874472204313832e+01,-5.881360750464430254e+01
4.215941323002340368e+00,-4.519778343271337917e+01
-2.330192668992084037e+01,-2.974219512995176373e+01
-7.032543428424647303e+00,-3.064161816683400019e+01
-3.238587666496485440e+00,-3.189905012369675319e+01
-4.423810356082285011e-01,-2.957104382190954084e+01
-8.825887473349565582e+00,-2.456828874904965687e+01
-1.249958668249024996e+01,-2.327702863817914647e+01
-1.164094051907577487e+01,-2.622006018449259912e+01
-1.869526244541666671e+01,-3.014819792316572489e+01
7.781746693554154604e-01,-3.724989319647995245e+01
-1.817087981411501829e+01,-3.532062451254726199e+01
-1.070901398043796249e+01,-3.797549201913144401e+01
-1.699904701328715717e+01,-4.002111794444287796e+01
-1.286186864864767188e+00,-4.391867895156860868e+01
-1.678822335000640820e+01,-4.063516318303600627e+01
-8.940509108050223475e+00,-4.147612663580650150e+01
-4.528550696398517594e+00,-4.128745438406588875e+01
-7.284584732802989571e+00,-3.777361552032052572e+01
2.085615216523155624e+01,-3.456004740242001816e+01
-9.697317244427480887e+00,-1.816675756644538708e+01
-1.855776051884375732e+01,-1.210953717942099317e+01
-7.214972876486785758e+00,-1.823712873536763723e+01
-8.222413485944048972e+00,-2.299416388701487790e+01
-2.015878142611058621e+01,-2.587219614653354327e+01
-9.241422740710371286e+00,-3.367679959688000224e+01
-2.700490089273565175e+01,-3.774627368541843708e+01
-8.392794046648315742e+00,-4.759510136575681827e+01
-1.390086649191316681e+01,-5.042122727424914785e+01
-1.107317847697603597e+01,-5.116660974606622148e+01
4.856766428733656937e+00,-5.018426075273438869e+01
-1.758110318151752693e+01,-4.047707852552463237e+01
-8.282817780529487806e+00,-3.882247537215346256e+01
-1.350556097583332793e+01,-3.791632148615515518e+01
-3.004073089691982190e+01,-3.909776648777746999e+01
-2.275494222769164310e+01,-4.964212250359398126e+01
-1.581139260316888340e-02,-5.987894714304660937e+01
-1.655489309519483854e+01,-5.627221116253090827e+01
-1.418420802020891180e+01,-5.424901090547803051e+01
-6.142612077064981690e+00,-5.361115780243232365e+01
-1.008733352041087272e+00,-4.929955753976437904e+01
1.809227426845759013e+01,-4.097736151856361175e+01
-2.816600232323615316e+01,-2.249282552784557154e+01
-1.400511111097360484e+00,-2.449995006564189737e+01
1.537538527172761604e+01,-2.481347752439756960e+01
-1.168074953136613026e+01,-1.341553219906892203e+01
-1.006183279133679420e+01,-1.146904820138155756e+01
-4.200328061689636350e+00,-1.514154264860105847e+01
-1.340014286017927070e+01,-1.713624728742393089e+01
1.327979931560563287e+01,-2.223568986896066235e+01
-1.147943840248194114e+01,-1.521550445353789094e+01
3.586663284099333993e-01,-1.465591895993583549e+01
-1.855993038105568971e+01,-1.307505090854777841e+01
-1.651117649720274727e+01,-1.965967016900255615e+01
-2.064973206172124165e+01,-2.899300532489182203e+01
-1.904041903993300622e+01,-3.969855882569881800e+01
-1.273335343766221328e+01,-4.877126533108944528e+01
-2.564060583452124575e+01,-5.248391988426482868e+01
-1.609748679389390702e+01,-5.952132788893116810e+01
-2.743736840647103037e+01,-6.314140035500574299e+01
2.780436562013386848e+00,-6.966632038619354717e+01
-1.938104337299653679e+01,-6.221435921384243528e+01
-2.159599392391530870e+01,-5.899029846331325899e+01
-1.507140184506182834e+01,-6.112445932511881352e+01
-1.170259109455508550e+01,-6.181023294562644566e+01
-4.794552201292234805e+00,-5.951213071056696435e+01
3.055786638855002124e+00,-5.273440936802676759e+01
-1.260335954757485055e+00,-4.081929369471310309e+01
-2.258955071634468936e+01,-3.030914717184106522e+01
-9.830030860440901463e+00,-3.310708509984671366e+01
-2.055439519541029370e+01,-3.598231096626017944e+01
-2.013110645856336234e+01,-4.252168017005789125e+01
-7.886119640852818691e+00,-5.019158961372988870e+01
-1.339658086059129083e+01,-5.085690472340514390e+01
-1.227704318251434046e+01,-5.045496447326461009e+01
-7.777269394764774191e+00,-4.971951732732713936e+01
3.025393732791012980e+00,-4.660570806864695470e+01
-1.727998999639166655e+01,-3.731481815693161508e+01
2.632808717876846671e+00,-3.633013719789683194e+01
-2.290022697470138269e+01,-3.057362993250399796e+01
-1.331722636090809431e+01,-3.478115761649338822e+01
-2.530467855166397939e+01,-3.967778688650223273e+01
4.233053259964094650e+00,-4.907555210953324121e+01
-2.049493204963385651e+01,-4.502064250985734617e+01
-2.486243264071806180e+00,-4.617173581726756737e+01
5.955921832684278883e+00,-4.248311255420507848e+01
-1.389680065323567248e+01,-3.161197966829493566e+01
-1.252189457591332911e+01,-2.899455362588875218e+01
-1.818409764717789656e+01,-3.106789873909045241e+01
-2.287945883539814318e+00,-3.720292275631814505e+01
-2.449454249244319470e+01,-3.643402934500126378e+01
4.698451153731006968e-01,-4.280622113658050409e+01
-1.126331524897796044e+01,-4.047071851557016231e+01
3.396381399741194684e+00,-3.874218895094815451e+01
-1.226550418349617644e+01,-3.133942131951025445e+01
-5.968627240301199066e+00,-2.945926338127843280e+01
6.865372433864969537e+00,-2.827028530740506085e+01
-3.675673177812392112e+00,-2.048542159995342260e+01
-1.802072028226443479e+01,-1.555463556073554798e+01
1.293952189993681401e+01,-2.066267384295770881e+01
-1.130911840159920345e+01,-1.453540331707955424e+01
-9.498839620048208587e+00,-1.436956653648444338e+01
8.807941862145540313e+00,-1.789191628919606458e+01
-1.039604332196450187e+01,-1.285132766803899607e+01
-1.497695727279364597e+01,-1.331133591332797117e+01
-1.630607985753684375e+01,-1.987361187352506420e+01
-9.153980105075740781e+00,-2.870385613304150141e+01
-6.855460751612101333e+00,-3.350089992754864454e+01
-1.200658395292439451e+00,-3.421612926212313965e+01
-1.098457700618200228e+01,-3.027921085549407110e+01
-1.956419513846230984e+01,-2.963232466728512193e+01
-1.226752696323656444e+01,-3.553486245744334582e+01
-1.856713854970296751e+01,-4.007343407489417331e+01
-1.743712568647174166e+01,-4.580075844239561178e+01
-1.456700761360508167e+01,-5.112863821788938168e+01
-3.671418341907573435e+00,-5.388608893899660046e+01
-1.069957850130596100e+01,-4.955643423619458332e+01
-2.768383979570661069e+01,-4.578933225643629612e+01
-2.101678900197784827e+01,-5.202054890806270748e+01
-1.222827997661191191e+01,-5.922772095929799718e+01
-9.036393558960812200e+00,-6.054763202498204322e+01
-2.539118334986602576e+01,-5.707391244852578183e+01
1.747413861551997627e+00,-6.030206203403964338e+01
-2.542874223978989789e+01,-5.348534534876597490e+01
-1.537247409113092722e+01,-5.500772818210465687e+01
-2.109311910869448425e+01,-5.696718610236172253e+01
1.146001992575966355e+00,-6.064873169075571724e+01
3.244766287341274591e+00,-5.379403733806395849e+01
-4.496777565703050072e+01,-4.098859830241411117e+01
-5.830453049437029911e+00,-5.198279250992121803e+01
-1.245442812133283184e+01,-5.502927798980181251e+01
-8.046987325427275906e+00,-5.412834987364159645e+01
-7.302344682620217853e+00,-5.041739513388707650e+01
-2.185214564206523136e+01,-4.547588745755628992e+01
2.351500566841098205e+00,-4.807545647453839877e+01
-4.178730907029555297e+00,-4.234302081984876054e+01
-1.158555952840558589e+01,-3.537155643502906344e+01
-1.832171138707538915e+01,-3.340727061458141378e+01
-1.519131502649209686e+01,-3.767295383696812650e+01
-1.535288327052189139e+01,-4.261296647912574542e+01
2.503122503414253686e+00,-4.676524929663798957e+01
-4.935278695551637895e+00,-4.106908877802828073e+01
1.240013040396833333e+01,-3.467119247553554118e+01
-1.077595100370525927e+01,-2.112304598756773544e+01
-2.591740074775066205e+01,-1.702236734384104011e+01
-1.442734760242151992e+01,-2.685335606642484052e+01
-5.172968358375395148e+00,-3.588528582162232539e+01
-9.797008695591058469e+00,-3.741133864658647923e+01
-2.277393651652495521e+00,-3.738547837887595904e+01
3.150316352994092739e+00,-3.353306800175304403e+01
8.578136396377622930e+00,-2.544388673842727044e+01
-1.488597797743808471e+01,-1.385786962229384756e+01
1.130672371452853397e+01,-1.405256626195092018e+01
-1.336416227156378689e+01,-7.692524881578663098e+00
-3.158700526861843016e+01,-9.736173552981309598e+00
